gpx_path,track_name,candidate_count_default,trackpoint_count,valid_elevation_point_count,elevation_range,first_time_utc,last_time_utc,linked_yamap_activity_id,yamap_title,yamap_link_status,title_component_count,title_component_source,outlier_category,review_reason,suggested_followup,needs_manual_review
gpx/raw/yamap_2022-02-06_08_26.gpx,谷上山・権現山・白滝山・障子山,5,912,912,747.93,2022-02-05T23:26:09Z,2022-02-06T06:44:10Z,15569162,谷上山・権現山・白滝山・障子山,single_high_confidence_candidate,4,track_name,high_candidate_count,Criteria met: high_candidate_count,Review parameters or data quality,True
gpx/raw/yamap_2022-02-11_08_26.gpx,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,5,588,588,574.32,2022-02-10T23:26:34Z,2022-02-11T05:10:14Z,15624334,塩ヶ森・番駄ヶ森・ケタ山・大磨山・鍵山（象ヶ森）,single_high_confidence_candidate,5,track_name,high_candidate_count,Criteria met: high_candidate_count,Review parameters or data quality,True
gpx/raw/yamap_2022-02-27_10_22.gpx,日王山,0,24,24,39.49,2022-02-27T01:22:51Z,2022-02-27T01:34:37Z,15886152,日王山,single_high_confidence_candidate,1,track_name,zero_candidates|few_trackpoints|low_elevation_range,Criteria met: zero_candidates|few_trackpoints|low_elevation_range,Review parameters or data quality,True
gpx/raw/yamap_2022-02-28_13_13.gpx,花木山,1,45,45,45.23,2022-02-28T04:13:00Z,2022-02-28T04:46:05Z,15920024,花木山,single_high_confidence_candidate,1,track_name,few_trackpoints|low_elevation_range,Criteria met: few_trackpoints|low_elevation_range,Review parameters or data quality,True
gpx/raw/yamap_2022-03-05_09_44.gpx,城山・水梨山・向山,5,661,661,395.54,2022-03-05T00:44:28Z,2022-03-05T06:20:51Z,15983117,城山・水梨山・向山,single_high_confidence_candidate,3,track_name,high_candidate_count,Criteria met: high_candidate_count,Review parameters or data quality,True
gpx/raw/yamap_2022-04-06_09_25.gpx,忽那山,1,31,31,37.63,2022-04-06T00:25:01Z,2022-04-06T00:37:26Z,16497216,忽那山,single_high_confidence_candidate,1,track_name,few_trackpoints|low_elevation_range,Criteria met: few_trackpoints|low_elevation_range,Review parameters or data quality,True
gpx/raw/yamap_2022-04-08_09_33.gpx,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,5,583,583,218.57,2022-04-08T00:33:28Z,2022-04-08T05:40:09Z,16527154,鬼ヶ城山・大久保山・八面山・三本杭・横ノ森・小屋ヶ森・毛山,single_high_confidence_candidate,7,track_name,high_candidate_count,Criteria met: high_candidate_count,Review parameters or data quality,True
gpx/raw/yamap_2022-04-22_17_29.gpx,碁石ヶ森,1,23,23,60.78,2022-04-22T08:29:52Z,2022-04-22T08:43:27Z,16795124,碁石ヶ森,single_high_confidence_candidate,1,track_name,few_trackpoints,Criteria met: few_trackpoints,Review parameters or data quality,True
gpx/raw/yamap_2022-04-25_11_35.gpx,伊之子山・左谷ノ森,2,352,352,420.94,2022-04-25T02:35:33Z,2022-04-25T06:05:22Z,16864667,二ッ箭山・暑いです！！,needs_review,2,track_name,linking_unresolved,Criteria met: linking_unresolved,Review parameters or data quality,True
gpx/raw/yamap_2022-05-07_13_44.gpx,翠波峰,0,11,11,8.83,2022-05-07T04:44:03Z,2022-05-07T04:48:31Z,17193111,翠波峰,single_high_confidence_candidate,1,track_name,zero_candidates|few_trackpoints|low_elevation_range,Criteria met: zero_candidates|few_trackpoints|low_elevation_range,Review parameters or data quality,True
