mountain_no,mountain_name,category,candidate_count,top_summit_candidate_id,top_score,top_confidence,top_match_status,top_candidate_generation_strategy,top_source_gpx_basename,top_track_name,top_candidate_lat,top_candidate_lon,top_candidate_ele_m,mountain_csv_lat,mountain_csv_lon,mountain_elevation_m,grounding_status,grounding_distance_m,grounding_municipality,candidate_municipality,municipality_compatibility,name_evidence_tier,elevation_diff_m,csv_coordinate_distance_m,activity_link_summary,needs_human_review,review_reason_codes,notes
1,関ヶ森,v3_conflict_case,4,summit-candidate:a0c35720552a78c8,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-15_08_17.gpx,関ヶ森・観音山・倉谷山・芝ヶ峠,NaN,NaN,,,,592,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
2,観音山,v3_conflict_case,11,summit-candidate:0022a746b396d4c7,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2024-03-10_07_12.gpx,夫婦山・白山・観音山・国見山・城山・御勧請山,NaN,NaN,,,,518,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
3,高森山,v3_conflict_case,9,summit-candidate:428f403ddcc5a31a,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2026-02-22_07_32.gpx,高森山・町木山・寒台山・鎧掛山,NaN,NaN,,,,724,,NaN,東温市,,unknown,strong,,,,true,missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
4,岩伽羅山,v3_conflict_case,2,summit-candidate:d03c84134ca0989d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),NaN,NaN,,,,696,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
5,衣掛山,v3_conflict_case,2,summit-candidate:d03c84134ca0989d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),NaN,NaN,,,,463,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
6,吉山(吉山城址),v3_conflict_case,2,summit-candidate:d03c84134ca0989d,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-22_09_04.gpx,高森山・岩伽羅山・衣掛山・吉山(吉山城址),NaN,NaN,,,,262,,,,東温市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
7,尾ノ峰,v3_conflict_case,4,summit-candidate:36e3ac8003e8b5d0,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,NaN,NaN,,,,193,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
8,新城山,v3_conflict_case,4,summit-candidate:36e3ac8003e8b5d0,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,NaN,NaN,,,,161,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
9,腰折山,v3_conflict_case,4,summit-candidate:36e3ac8003e8b5d0,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,NaN,NaN,,,,213,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
10,恵良山,v3_conflict_case,4,summit-candidate:36e3ac8003e8b5d0,0.65,medium,v3_conflict_case,fallback_name_municipality,yamap_2022-01-28_12_28.gpx,尾ノ峰・新城山・腰折山・恵良山,NaN,NaN,,,,302,,,,松山市,compatible,strong,,,,true,grounding_missing;missing_csv_coordinate;timezone_ambiguity;multiple_mountains_for_candidate;near_tie_candidates_for_mountain,
